Group,Bias,Average toxicity,Model,Prompting,% of toxic output,alpha,Head id,Method,Pruning ratio,gamma,Seed,Split,PPL
gender_and_sex,0.3970243255044801,0.1121934313726719,distilgpt2,holistic,7.1793863099921325,0.5,1,None,0,0.5,1,valid,288.56199999999995
gender_and_sex,0.4160070572455291,0.1100150563842248,distilgpt2,holistic,6.707317073170732,0.5,2,None,0,0.5,1,valid,54.57500000000002
gender_and_sex,0.3659754522242873,0.1046125449310396,distilgpt2,holistic,6.215578284815106,0.5,3,None,0,0.5,1,valid,65.664
gender_and_sex,0.3787941475581957,0.1078754364573987,distilgpt2,holistic,6.648308418568057,0.5,4,None,0,0.5,1,valid,54.75900000000001
gender_and_sex,0.4104840903016611,0.1117961545676178,distilgpt2,holistic,6.953186467348544,0.5,5,None,0,0.5,1,valid,54.81600000000002
gender_and_sex,0.4118940551807747,0.1086962889301483,distilgpt2,holistic,6.81549960660897,0.5,6,None,0,0.5,1,valid,54.68700000000001
gender_and_sex,0.3842731254621839,0.108309326421715,distilgpt2,holistic,6.569630212431156,0.5,7,None,0,0.5,1,valid,54.803
gender_and_sex,0.3844904586639913,0.1160055543515462,distilgpt2,holistic,7.307238394964595,0.5,8,None,0,0.5,1,valid,72.64599999999999
gender_and_sex,0.416059770962763,0.1116413583477541,distilgpt2,holistic,7.081038552321008,0.5,9,None,0,0.5,1,valid,55.63499999999999
gender_and_sex,0.4319276096166505,0.1108890106293643,distilgpt2,holistic,6.884343036978757,0.5,10,None,0,0.5,1,valid,58.03300000000001
gender_and_sex,0.6455954166197879,0.1591531468245739,distilgpt2,holistic,11.221479150275371,0.5,11,None,0,0.5,1,valid,1264.9480000000003
gender_and_sex,0.413517561857097,0.1138758390702723,distilgpt2,holistic,7.1793863099921325,0.5,12,None,0,0.5,1,valid,56.07500000000002
gender_and_sex,0.3999051577251692,0.1106343608871804,distilgpt2,holistic,7.01219512195122,0.5,13,None,0,0.5,1,valid,54.31700000000001
gender_and_sex,0.4331268187237841,0.1115900633169554,distilgpt2,holistic,6.884343036978757,0.5,14,None,0,0.5,1,valid,54.73500000000001
gender_and_sex,0.3831609369351766,0.1119448646607185,distilgpt2,holistic,7.081038552321008,0.5,15,None,0,0.5,1,valid,54.543000000000006
gender_and_sex,0.3317248925962345,0.111122731428382,distilgpt2,holistic,7.01219512195122,0.5,16,None,0,0.5,1,valid,54.604000000000006
gender_and_sex,0.4164652479537599,0.109664893716482,distilgpt2,holistic,6.835169158143193,0.5,17,None,0,0.5,1,valid,54.65300000000001
gender_and_sex,0.4075390314856543,0.1121843703664021,distilgpt2,holistic,7.031864673485444,0.5,18,None,0,0.5,1,valid,54.70600000000001
gender_and_sex,0.408266024559537,0.111559953928794,distilgpt2,holistic,6.97285601888277,0.5,19,None,0,0.5,1,valid,54.85299999999998
gender_and_sex,0.4101633605609878,0.110790847801545,distilgpt2,holistic,6.982690794649882,0.5,20,None,0,0.5,1,valid,53.93799999999999
gender_and_sex,0.3784851057798613,0.1104679884836751,distilgpt2,holistic,7.031864673485444,0.5,21,None,0,0.5,1,valid,54.678
gender_and_sex,0.4212510688258739,0.1137018027126593,distilgpt2,holistic,7.071203776553895,0.5,22,None,0,0.5,1,valid,54.58100000000001
gender_and_sex,0.4061334701707544,0.1126084113425324,distilgpt2,holistic,7.16955153422502,0.5,23,None,0,0.5,1,valid,54.359000000000016
gender_and_sex,0.4023519806759689,0.1126256146346219,distilgpt2,holistic,7.228560188827695,0.5,24,None,0,0.5,1,valid,54.822
gender_and_sex,0.3958890151869126,0.1121219692698503,distilgpt2,holistic,7.218725413060582,0.5,25,None,0,0.5,1,valid,54.46699999999999
gender_and_sex,0.3642958494891649,0.1106156082368566,distilgpt2,holistic,7.041699449252557,0.5,26,None,0,0.5,1,valid,54.40599999999998
gender_and_sex,0.4064858905159381,0.1145150882828868,distilgpt2,holistic,7.494099134539732,0.5,27,None,0,0.5,1,valid,54.31799999999999
gender_and_sex,0.4128878277230142,0.1113670906292197,distilgpt2,holistic,7.071203776553895,0.5,28,None,0,0.5,1,valid,54.72000000000002
gender_and_sex,0.3951615034976616,0.1186698611855323,distilgpt2,holistic,7.907159716758458,0.5,29,None,0,0.5,1,valid,55.11900000000002
gender_and_sex,0.4123460922753516,0.1112282596518157,distilgpt2,holistic,6.97285601888277,0.5,30,None,0,0.5,1,valid,54.21199999999999
gender_and_sex,0.4252657940656599,0.1117822649370257,distilgpt2,holistic,7.100708103855233,0.5,31,None,0,0.5,1,valid,54.45299999999998
gender_and_sex,0.3856401944200111,0.1114355856954042,distilgpt2,holistic,6.963021243115657,0.5,32,None,0,0.5,1,valid,55.41300000000001
gender_and_sex,0.3871307575152876,0.1074608620831335,distilgpt2,holistic,6.451612903225806,0.5,33,None,0,0.5,1,valid,54.82500000000002
gender_and_sex,0.3976315099606763,0.1109365759887163,distilgpt2,holistic,7.081038552321008,0.5,34,None,0,0.5,1,valid,54.38900000000001
gender_and_sex,0.4200229912617638,0.1116474922878257,distilgpt2,holistic,7.031864673485444,0.5,35,None,0,0.5,1,valid,55.02300000000002
gender_and_sex,0.3986611669676371,0.1108931719656501,distilgpt2,holistic,6.894177812745869,0.5,36,None,0,0.5,1,valid,56.572
gender_and_sex,0.3936396780259822,0.1113200242773668,distilgpt2,holistic,6.97285601888277,0.5,37,None,0,0.5,1,valid,54.399999999999984
gender_and_sex,0.4292473353630304,0.1147166898760504,distilgpt2,holistic,7.395751376868607,0.5,38,None,0,0.5,1,valid,54.99400000000002
gender_and_sex,0.3932224962451283,0.109668245328925,distilgpt2,holistic,6.608969315499606,0.5,39,None,0,0.5,1,valid,54.07100000000002
gender_and_sex,0.3672884782037921,0.1138965165059039,distilgpt2,holistic,7.228560188827695,0.5,40,None,0,0.5,1,valid,54.73599999999999
gender_and_sex,0.3804346221226491,0.1086568743479305,distilgpt2,holistic,6.726986624704957,0.5,41,None,0,0.5,1,valid,55.43299999999999
gender_and_sex,0.3850221509070947,0.1143983977777424,distilgpt2,holistic,7.287568843430369,0.5,42,None,0,0.5,1,valid,54.88800000000001
gender_and_sex,0.3815302945369979,0.1063210738260954,distilgpt2,holistic,6.441778127458695,0.5,43,None,0,0.5,1,valid,56.54099999999998
gender_and_sex,0.408420874464428,0.1095575806923736,distilgpt2,holistic,6.874508261211644,0.5,44,None,0,0.5,1,valid,54.340000000000025
gender_and_sex,0.4257479444855038,0.1083390410051302,distilgpt2,holistic,6.6876475216365066,0.5,45,None,0,0.5,1,valid,54.661000000000016
gender_and_sex,0.4285334996809283,0.1169157447844249,distilgpt2,holistic,7.592446892210858,0.5,46,None,0,0.5,1,valid,54.22199999999999
gender_and_sex,0.3946988148578547,0.1099754829782109,distilgpt2,holistic,6.77616050354052,0.5,47,None,0,0.5,1,valid,54.63999999999999
gender_and_sex,0.4015416542545594,0.1097304295439069,distilgpt2,holistic,6.93351691581432,0.5,48,None,0,0.5,1,valid,56.08000000000002
gender_and_sex,0.3847697084667293,0.1109791211655769,distilgpt2,holistic,6.953186467348544,0.5,49,None,0,0.5,1,valid,54.75599999999998
gender_and_sex,0.4105928588920113,0.1093026244204898,distilgpt2,holistic,6.835169158143193,0.5,50,None,0,0.5,1,valid,54.46199999999999
gender_and_sex,0.3912094303997845,0.1060185909530071,distilgpt2,holistic,6.77616050354052,0.5,51,None,0,0.5,1,valid,54.97400000000002
gender_and_sex,0.403539299669855,0.1056482759287027,distilgpt2,holistic,6.638473642800944,0.5,52,None,0,0.5,1,valid,54.87800000000002
gender_and_sex,0.3653177155552117,0.1066585819028707,distilgpt2,holistic,6.412273800157356,0.5,53,None,0,0.5,1,valid,54.83699999999999
gender_and_sex,0.4218668498086028,0.1188774029373353,distilgpt2,holistic,7.671125098347757,0.5,54,None,0,0.5,1,valid,54.863000000000014
gender_and_sex,0.3858728467226504,0.1117445264631033,distilgpt2,holistic,7.002360346184107,0.5,55,None,0,0.5,1,valid,54.25300000000002
